"Título","Descrição","Status"
"fix: Translate fixed portuguese texts on Personal Planning Dashboard","## Localization

**Module**: Personal Planning

**Screen**: Dashboard

**Severity**: Low

## Problems

* The card 'Performance by Day of Week' have untranslated week days. Needs a correction on card and on i18n localization system:

  ![image.png](/uploads/b750233c0b61cbcd0fd4529ff3cb0477/image.png){width=900 height=454}

  
* The card 'Habit Consistency' have the hardcoded texts 'conclusões' and 'dias completos':

  ![image.png](/uploads/89abb2dc80ad0cc8a7cb1fa4ff97f3fa/image.png){width=""900"" height=""450""}
* The card 'Habit Insights' bring the insight on hardcoded portuguese:

  ![image.png](/uploads/de0c552977999a0b97a571bf5e1c766f/image.png){width=""900"" height=""452""}

## Actions

* Locate where the hardcoded texts came from;
* Fix the i18n violations;
* If changes are necessary on backend, test and validate them;
* Validate the syntax and validation of the fixes.

## Acception Criteries

* Frontend lint commands passing (npm run format --write, eslint .);
* Focused tests passing (vitest, pytest if necessary).","✅ Feito"
"fix: Kanban showing hardcoded subtitle, categories and units.","## Localization

**Module**: Personal Planning

**Screen**: Today's Tasks

Severity: Low

## Problems

* On kanban subtitle, the total of tasks is being showed in hardcoded portuguese:

  ![image.png](/uploads/57772bc2a99dab5523ba67abef28612e/image.png){width=900 height=454}
* The category of the task is also being showed in portuguese, without translation:

  ![image.png](/uploads/fef2323b14634670819827d79c753d20/image.png){width=900 height=449}
* The unit of the task doesn't have translation:

  ![image.png](/uploads/19cbd7790e57b06908c18216c363d729/image.png){width=900 height=448}

## Actions

* Locate where the hardcoded texts came from;
* Fix the i18n violations;
* Test the corrections.

## Acception Criteries

* Frontend lint commands passing (npm run format --write, eslint .).","✅ Feito"
"fix: Tasks list mode showing hardcoded conclusion category","## Localization

**Module**: Personal Planning

**Screen**: Today's Tasks

**Severity**: Low   

## Problems

* On list mode, the tasks show the conclusion category without translation:

  ![image.png](/uploads/31aa59bd7ddf1b70f0ef225b340be261/image.png){width=900 height=460}

## Actions

* Locate where the hardcoded categories came from;
* Fix the i18n violation;
* Validate the correction.

## Acception Criteries

* Frontend lint commands passing (npm run format --write, eslint .).","✅ Feito"
"fix: Routine Tasks screen without translation for frequency, calendar and goal.","## Localization

**Module**: Personal Planning

**Screen**: Routine Tasks

**Severity**: Low  

## Problems

* Frequency and calendar without translation when English is the active language:

  ![image.png](/uploads/d520f6044fa4790a4ab20e87ac00c7c8/image.png){width=900 height=453}
* Goal is also without translation:

  ![image.png](/uploads/1d0ee9830b0ce87e1e9120fe89dc9a7c/image.png){width=900 height=455}

## Actions

* Locate where the translation is not implemented;
* Fix the i8n violation;
* Validate the corrections.

## Acception Criteries

* Frontend lint commands passing (npm run format --write, eslint .).","✅ Feito"
"fix: Persistir sessionId do agente no localStorage","## Contexto
A cada vez que o usuário navega para outra página e volta para `/agents`, um novo `crypto.randomUUID()` é gerado, zerando completamente a conversa anterior. Isso destrói a continuidade que é o maior valor de um assistente conversacional.

## Arquivo afetado
`frontend/src/pages/Agents.tsx` — linha 385:
```typescript
const [sessionId] = useState(() => crypto.randomUUID());
```

## O que fazer
- Substituir o `useState` simples por leitura do `localStorage`:
```typescript
const [sessionId] = useState(() => {
  const stored = localStorage.getItem('intellect_session_id');
  if (stored) return stored;
  const id = crypto.randomUUID();
  localStorage.setItem('intellect_session_id', id);
  return id;
});
```
- Armazenar por agente: chave `agent_session_${agentKey}`
- Ao limpar o histórico (`handleClearHistory`), remover também do localStorage

## Critérios de aceite
- [ ] Navegar para outra página e voltar preserva a conversa
- [ ] Limpar histórico via botão apaga o localStorage também
- [ ] Cada agente tem sua própria sessão persistida","✅ Feito"
"fix: Remover etapa dupla de confirmação na seleção de agente","## Contexto
O fluxo atual exige dois cliques para iniciar qualquer conversa: (1) clicar no card do agente e (2) clicar no botão de confirmação. Isso cria fricção desnecessária, especialmente para usuários recorrentes que sempre escolhem o mesmo agente.

## Arquivo afetado
`frontend/src/pages/Agents.tsx` — componente `AgentSelector`

## O que fazer
- Opção A (mais simples): Ao clicar num card, chamar `onConfirm()` imediatamente após `onSelect(key)`, eliminando o botão separado
- Opção B (mais poderosa): Remover a tela de seleção prévia; mostrar o input diretamente com um selector inline no header para trocar de agente
- Persistir o último agente usado no `localStorage` (`last_agent`) e pré-selecionar na próxima visita

## Critérios de aceite
- [ ] Um único clique no card inicia a conversa
- [ ] O último agente usado fica pré-selecionado na próxima visita
- [ ] Ainda é possível trocar de agente durante/após uma conversa","✅ Feito"
"feat: Botão Stop para cancelar stream do agente","## Contexto
Após enviar uma mensagem, não há como interromper a geração de resposta. O usuário fica preso esperando uma resposta longa ou incorreta até que ela termine naturalmente.

## O que fazer

### Frontend — `frontend/src/pages/Agents.tsx`
- Substituir o ícone `Send` (durante streaming) por um ícone `Square` (stop)
- Chamar `cancel()` retornado pelo hook `useAgentStream` ao clicar
- Desabilitar o botão de stop após clicado (evitar double-click)

### Frontend — `frontend/src/hooks/use-agent-stream.ts`
- O método `cancel()` já existe e chama `abortRef.current?.abort()`
- Expor `cancel` no retorno do hook (já está exposto, só precisa ser usado)

## Critérios de aceite
- [ ] Durante streaming, o botão de envio exibe ícone de stop (quadrado)
- [ ] Clicar em stop interrompe o stream imediatamente
- [ ] A resposta parcial acumulada é mantida no chat (não some)
- [ ] Após cancelar, o input fica habilitado para nova mensagem","✅ Feito"
"fix: Salvar posição dos nós do Grafo de Conhecimento no localStorage","## Contexto
A cada carregamento da página `/library/knowledge-graph`, o `react-force-graph` redistribui os nós aleatoriamente. O usuário que organizou mentalmente onde cada cluster está precisa reexplorar o grafo do zero a cada visita.

## Arquivo afetado
`frontend/src/pages/KnowledgeGraph.tsx`

## O que fazer
- Após o `cooldownTicks` do ForceGraph2D atingir zero (evento `onEngineStop`), serializar as posições `{id, x, y}` de todos os nós no localStorage com chave `kg_positions_${userId}`
- Ao carregar o grafo, verificar se existem posições salvas e aplicar via `node.fx`/`node.fy` (posição fixa)
- Adicionar botão 'Resetar layout' que limpa o localStorage e reativa o motor de física

## Critérios de aceite
- [ ] Ao recarregar a página, os nós estão nas mesmas posições da visita anterior
- [ ] Botão 'Resetar layout' redistribui os nós com física
- [ ] Posições são salvas por usuário (não globalmente)","✅ Feito"
"feat: Quick Capture de progresso de leitura (bottom sheet)","## Contexto
Registrar uma sessão de leitura hoje requer: abrir o livro → ir na aba sessões → clicar em 'Nova sessão' → preencher formulário com data/páginas/duração/período do dia → salvar. São 6+ interações para algo que deveria ser instantâneo.

## O que fazer

### Frontend
- Adicionar botão flutuante FAB `+` na página `/library/books`
- Ao clicar, abrir um bottom sheet com campos mínimos:
  - Busca/seleção de livro (autocomplete dos livros em leitura)
  - Campo numérico 'Páginas lidas hoje'
  - Toggle rápido de período do dia (Manhã / Tarde / Noite)
- Salvar via `readingsService.create()` e invalidar queries

### Backend
Nenhuma mudança necessária — endpoint existente suporta todos os campos.

## Critérios de aceite
- [ ] FAB visível na listagem de livros
- [ ] Bottom sheet abre em menos de 300ms
- [ ] Livros com status `reading` aparecem primeiro na busca
- [ ] Registro concluído em menos de 5 segundos (2 toques + número)","✅ Feito"
"feat: Botão 'Perguntar ao Intellect' contextual em livros e cursos","## Contexto
O Agente Intellect e a Biblioteca são módulos completamente desconexos. Um usuário lendo um livro não tem nenhum caminho visual para conversar com a IA sobre aquele livro. O fluxo atual requer navegar para `/agents`, selecionar o agente e digitar o nome do livro manualmente.

## O que fazer

### Frontend — Páginas de detalhe de livro e curso
- Adicionar botão 'Perguntar ao Intellect' com ícone `BotMessageSquare` no header de cada livro/curso
- Ao clicar, navegar para `/agents` passando state via React Router:
```typescript
navigate('/agents', {
  state: { agent: 'intellect', context: { type: 'book', title: livro.title, id: livro.id } }
});
```

### Frontend — `frontend/src/pages/Agents.tsx`
- Ler o `location.state` via `useLocation()`
- Se `state.agent` existir, pré-selecionar o agente e iniciar conversa automaticamente
- Se `state.context` existir, inserir no campo de input uma pergunta sugerida: 'Me fale sobre o livro [título]'

## Critérios de aceite
- [ ] Botão visível em detalhe de livro e na listagem de cursos
- [ ] Ao clicar, o agente Intellect é pré-selecionado automaticamente
- [ ] Campo de input tem sugestão de pergunta contextualizada
- [ ] Funciona em livros e em cursos","✅ Feito"
"feat: Timeline de horas de estudo por semana em cursos","## Contexto
A página de detalhe de curso mostra o total de horas investidas mas não há visualização temporal. O usuário não consegue ver se está estudando consistentemente ou se ficou semanas sem progresso.

## O que fazer

### Frontend — `frontend/src/components/library/CourseDetailModal.tsx`
- Adicionar seção 'Histórico de Estudo' com gráfico de barras usando Recharts
- Eixo X: últimas 8 semanas (formato 'semana de DD/MM')
- Eixo Y: horas estudadas naquela semana
- Dados agrupados a partir de `CourseSessions` do curso

### Backend (opcional)
- Endpoint `/api/v1/library/courses/{id}/study-timeline/` ou calcular no frontend agrupando os `CourseSessions` já retornados

## Critérios de aceite
- [ ] Gráfico visível no modal de detalhe do curso
- [ ] Barras com as 8 semanas mais recentes
- [ ] Tooltip mostrando horas e número de sessões na semana
- [ ] Estado vazio elegante quando não há sessões registradas","✅ Feito"
